Position,Track Name,Artist,Streams,URL,Year,Month,Day,Region,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
93,3 Nights,Dominic Fike,8937,https://open.spotify.com/track/1tNJrcVe6gwLEiZCtprs1u,2019,6,12,ch,0.815,0.518,7,-6.594,0,0.0897,0.223,0,0.104,0.877,151.891,177667,4
94,Maman ne le sait pas (feat. Niska),Ninho,8913,https://open.spotify.com/track/5c2HadbVTsMKjja4gohEFI,2019,6,12,ch,0.755,0.875,7,-5.944,0,0.193,0.399,0,0.115,0.393,145.008,203301,4
95,De mon mieux,Nekfeu,8821,https://open.spotify.com/track/7Dk92DM38obUOQknmSDku6,2019,6,12,ch,0.718,0.347,5,-10.627,0,0.099,0.529,3.81e-06,0.107,0.332,123.986,228413,4
96,Ghetto,Samra,8779,https://open.spotify.com/track/5h10tw9LYCWPFgqJttM2U0,2019,6,12,ch,0.682,0.719,0,-5.518,0,0.27,0.158,0,0.334,0.608,87.036,248676,4
97,Wow.,Post Malone,8768,https://open.spotify.com/track/6MWtB6iiXyIwun0YzU6DFP,2019,6,12,ch,0.833,0.539,11,-7.399,0,0.178,0.163,2.1e-06,0.101,0.385,99.947,149520,4
98,bury a friend,Billie Eilish,8617,https://open.spotify.com/track/4SSnFejRGlZikf02HLewEF,2019,6,12,ch,0.905,0.389,8,-14.505,1,0.332,0.74,0.162,0.106,0.196,120.046,193143,4
99,Power Over Me,Dermot Kennedy,8508,https://open.spotify.com/track/0OGNtqKkjI7FCE9HZ4Khgo,2019,6,12,ch,0.42,0.843,9,-4.231,0,0.121,0.0519,0,0.106,0.491,173.827,206960,3
100,Arcade,Duncan Laurence,8355,https://open.spotify.com/track/1Xi84slp6FryDSCbzq4UCD,2019,6,12,ch,0.45,0.329,9,-12.603,0,0.0441,0.818,0.00109,0.135,0.266,71.884,183624,3
1,Maghreb Gang (feat. French Montana & Khaled),Farid Bang,38586,https://open.spotify.com/track/1IBUPdwV9TvaipSODdt8QY,2019,6,13,ch,0.738,0.568,8,-5.341,1,0.186,0.0246,0,0.146,0.399,99.933,159800,4
2,I Don't Care (with Justin Bieber),Ed Sheeran,37870,https://open.spotify.com/track/3HVWdVOQ0ZA45FuZGSfvns,2019,6,13,ch,0.798,0.675,6,-5.041,1,0.0442,0.0912,0,0.0894,0.842,101.956,219947,4
3,bad guy,Billie Eilish,32292,https://open.spotify.com/track/2Fxmhks0bxGSBdJ92vM42m,2019,6,13,ch,0.701,0.425,7,-10.965,1,0.375,0.328,0.13,0.1,0.562,135.128,194088,4
4,Wieder Lila,Samra,29923,https://open.spotify.com/track/2kkcJ8tSDV42LdWcPjy6We,2019,6,13,ch,0.656,0.756,2,-4.026,0,0.3,0.435,0,0.0934,0.645,168.031,188057,4
5,Old Town Road (feat. Billy Ray Cyrus) - Remix,Lil Nas X,29721,https://open.spotify.com/track/6u7jPi22kF8CTQ3rb9DHE7,2019,6,13,ch,0.878,0.619,6,-5.56,1,0.102,0.0533,0,0.113,0.639,136.041,157067,4
6,SOS (feat. Aloe Blacc),Avicii,28321,https://open.spotify.com/track/2x0RZdkZcD8QRI53XT4GI5,2019,6,13,ch,0.802,0.645,5,-6.181,0,0.0715,0.272,0,0.119,0.376,100.001,157202,4
7,La Haine,Luciano,26961,https://open.spotify.com/track/2AHJLtc81zIfj9EKcVEzmJ,2019,6,13,ch,0.841,0.655,5,-4.654,0,0.0851,0.239,9.75e-05,0.213,0.579,101.976,164413,4
