Position,Track Name,Artist,Streams,URL,Year,Month,Day,Region,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
81,Press,Cardi B,44425,https://open.spotify.com/track/6dPyzkyZwoj9LqjQXOFdVv,2019,6,5,au,0.888,0.525,1,-5.665,1,0.305,0.029,5.68e-06,0.137,0.243,133.983,143792,4
82,"A Whole New World (End Title) - From ""Aladdin""",ZAYN,44344,https://open.spotify.com/track/1iWHabUgUuuKLBa0TzTHfk,2019,6,5,au,0.302,0.414,2,-8.16,1,0.0319,0.0575,0,0.0861,0.105,110.508,242956,4
83,Get You The Moon (feat. Snøw),Kina,44334,https://open.spotify.com/track/4ZLzoOkj0MPWrTLvooIuaa,2019,6,5,au,0.498,0.235,1,-16.541,0,0.188,0.72,0,0.144,0.0895,118.917,179080,4
84,ocean eyes,Billie Eilish,43726,https://open.spotify.com/track/2uIX8YMNjGMD7441kqyyNU,2019,6,5,au,0.475,0.37,4,-7.725,0,0.0361,0.819,0.0577,0.0841,0.157,144.828,200560,4
85,Lucid Dreams,Juice WRLD,43520,https://open.spotify.com/track/285pBltuF7vW8TeWk8hdRR,2019,6,5,au,0.511,0.566,6,-7.23,0,0.2,0.349,0,0.34,0.218,83.903,239836,4
86,Mr. Brightside,The Killers,43318,https://open.spotify.com/track/7oK9VyNzrYvRFo7nQEYkWN,2019,6,5,au,0.33,0.936,1,-3.66,1,0.0917,0.00108,0,0.0926,0.234,148.112,222587,4
87,All Day And Night - Jax Jones & Martin Solveig Present Europa,Jax Jones,43022,https://open.spotify.com/track/3O83h4LS797N23DpweeRAa,2019,6,5,au,0.585,0.782,1,-4.101,0,0.0897,0.269,0,0.156,0.521,121.908,169303,4
88,Confidence,Ocean Alley,42989,https://open.spotify.com/track/7to68V64Cu6zk0UDo5tyw3,2019,6,5,au,0.59,0.562,11,-9.607,0,0.0505,0.0637,0,0.105,0.561,140.835,253077,4
89,Body (feat. Brando),Loud Luxury,42570,https://open.spotify.com/track/7K7MUBCnzgBAvMVW2RTWNs,2019,6,5,au,0.752,0.764,1,-4.399,1,0.038,0.0476,9.44e-05,0.0543,0.582,121.958,163216,4
90,Taste (feat. Offset),Tyga,42408,https://open.spotify.com/track/5IaHrVsrferBYDm0bDyABy,2019,6,5,au,0.884,0.559,0,-7.442,1,0.12,0.0236,0,0.101,0.342,97.994,232959,4
91,Bohemian Rhapsody - Remastered 2011,Queen,42022,https://open.spotify.com/track/4u7EnebtmKWzUH433cf5Qv,2019,6,5,au,0.414,0.404,0,-9.928,0,0.0499,0.271,0,0.3,0.224,71.105,354320,4
92,Tiny Dancer,Elton John,41835,https://open.spotify.com/track/2TVxnKdb3tqe1nhQWwwZCO,2019,6,5,au,0.414,0.428,0,-11.097,1,0.0278,0.382,0.000243,0.148,0.282,145.075,377093,4
93,Murder On My Mind,YNW Melly,41305,https://open.spotify.com/track/7eBqSVxrzQZtK2mmgRG6lC,2019,6,5,au,0.759,0.73,0,-7.985,0,0.0516,0.145,3.06e-06,0.11,0.74,115.007,268434,4
94,"Rocket Man (I Think It's Going To Be A Long, Long Time)",Elton John,41238,https://open.spotify.com/track/3gdewACMIVMEWVbyb8O9sY,2019,6,5,au,0.602,0.522,10,-9.031,1,0.0285,0.386,1.44e-05,0.0941,0.36,136.637,281613,4
95,Shape of You,Ed Sheeran,41223,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3,2019,6,5,au,0.825,0.652,1,-3.183,0,0.0802,0.581,0,0.0931,0.931,95.977,233713,4
96,Leave Me Lonely,Hilltop Hoods,41209,https://open.spotify.com/track/26gEW3DUEK0n8n5fvnYrPE,2019,6,5,au,0.763,0.874,0,-5.792,0,0.0564,0.27,0,0.159,0.755,131.038,194773,4
97,i love you,Billie Eilish,40913,https://open.spotify.com/track/6CcJMwBtXByIz4zQLzFkKc,2019,6,5,au,0.421,0.131,0,-18.435,1,0.0382,0.952,0.00453,0.109,0.12,137.446,291796,4
98,Pure Water (with Migos),Mustard,40776,https://open.spotify.com/track/63cd4JkwGgYJrbOizbfmsp,2019,6,5,au,0.68,0.559,0,-5.545,1,0.129,0.172,0,0.318,0.137,202.006,194520,4
99,Earth,Lil Dicky,40768,https://open.spotify.com/track/2S1LebN6AXXQqJolBxlWgO,2019,6,5,au,0.694,0.664,2,-4.649,1,0.05,0.639,0,0.0929,0.676,95.941,281500,4
100,my strange addiction,Billie Eilish,40452,https://open.spotify.com/track/3Tc57t9l2O8FwQZtQOvPXK,2019,6,5,au,0.939,0.305,8,-10.952,0,0.354,0.35,0.000169,0.105,0.563,100.029,179889,4
1,I Don't Care (with Justin Bieber),Ed Sheeran,258781,https://open.spotify.com/track/3HVWdVOQ0ZA45FuZGSfvns,2019,6,6,au,0.798,0.675,6,-5.041,1,0.0442,0.0912,0,0.0894,0.842,101.956,219947,4
2,bad guy,Billie Eilish,244882,https://open.spotify.com/track/2Fxmhks0bxGSBdJ92vM42m,2019,6,6,au,0.701,0.425,7,-10.965,1,0.375,0.328,0.13,0.1,0.562,135.128,194088,4
3,Old Town Road (feat. Billy Ray Cyrus) - Remix,Lil Nas X,210271,https://open.spotify.com/track/6u7jPi22kF8CTQ3rb9DHE7,2019,6,6,au,0.878,0.619,6,-5.56,1,0.102,0.0533,0,0.113,0.639,136.041,157067,4
4,Someone You Loved,Lewis Capaldi,205360,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf,2019,6,6,au,0.501,0.405,1,-5.679,1,0.0319,0.751,0,0.105,0.446,109.891,182161,4
5,If I Can't Have You,Shawn Mendes,168079,https://open.spotify.com/track/6LsAAHotRLMOHfCsSfYCsz,2019,6,6,au,0.692,0.809,2,-4.198,1,0.0602,0.524,0,0.147,0.864,123.911,190800,4
6,Easier,5 Seconds of Summer,161333,https://open.spotify.com/track/4tNXntkAzQ5A2dfYRYGIIQ,2019,6,6,au,0.505,0.428,5,-5.604,1,0.221,0.489,0,0.0977,0.618,175.813,157493,4
7,Cross Me (feat. Chance the Rapper & PnB Rock),Ed Sheeran,160532,https://open.spotify.com/track/543bCW2ruMPmxUBWirQ3MR,2019,6,6,au,0.746,0.787,4,-6.373,1,0.12,0.214,0,0.0669,0.607,95.005,206187,4
8,EARFQUAKE,"Tyler, The Creator",139500,https://open.spotify.com/track/5hVghJ4KaYES3BFUATCYn0,2019,6,6,au,0.554,0.498,9,-8.866,1,0.0685,0.23,5.98e-06,0.795,0.413,79.635,190067,4
9,SOS,Avicii,137741,https://open.spotify.com/track/0n2nEtLP3OzDdi12ziIekx,2019,6,6,au,0.802,0.645,5,-6.181,0,0.0715,0.272,0,0.119,0.376,100.001,157202,4
10,3 Nights,Dominic Fike,134055,https://open.spotify.com/track/1tNJrcVe6gwLEiZCtprs1u,2019,6,6,au,0.815,0.518,7,-6.594,0,0.0897,0.223,0,0.104,0.877,151.891,177667,4
