Position,Track Name,Artist,Streams,URL,Year,Month,Day,Region,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
20,Murder On My Mind,YNW Melly,23273,https://open.spotify.com/track/7eBqSVxrzQZtK2mmgRG6lC,2019,2,27,nz,0.759,0.73,0,-7.985,0,0.0516,0.145,3.06e-06,0.11,0.74,115.007,268434,4
21,Thotiana,Blueface,22922,https://open.spotify.com/track/3oh6SCCeLuXhFpEyepla6G,2019,2,27,nz,0.906,0.382,10,-12.89,0,0.269,0.18,0,0.113,0.391,104.025,129264,4
22,Always Remember Us This Way,Lady Gaga,21028,https://open.spotify.com/track/2rbDhOo9Fh61Bbu23T2qCk,2019,2,27,nz,0.553,0.502,0,-5.972,1,0.0409,0.299,0,0.764,0.296,129.976,210200,4
23,Shotgun,George Ezra,20805,https://open.spotify.com/track/4ofwffwvvnbSkrMSCKQDaC,2019,2,27,nz,0.672,0.735,5,-4.733,1,0.0457,0.286,0,0.242,0.754,115.741,201287,4
24,a lot,21 Savage,20738,https://open.spotify.com/track/2t8yVaLvJ0RenpXUIAC52d,2019,2,27,nz,0.837,0.636,1,-7.643,1,0.086,0.0395,0.00125,0.342,0.274,145.972,288624,4
25,Giant (with Rag'n'Bone Man),Calvin Harris,20568,https://open.spotify.com/track/5itOtNx0WxtJmi1TQ3RuRd,2019,2,27,nz,0.807,0.887,1,-4.311,0,0.0361,0.016,0.000503,0.0811,0.606,122.015,229184,4
26,Who Do You Love,The Chainsmokers,20514,https://open.spotify.com/track/11cDEev79fPKi6uJCjUhu8,2019,2,27,nz,0.51,0.835,3,-4.673,1,0.0447,0.00791,0,0.219,0.435,140.024,226747,4
27,Going Bad (feat. Drake),Meek Mill,19620,https://open.spotify.com/track/2IRZnDFmlqMuOrYOLnZZyc,2019,2,27,nz,0.889,0.496,4,-6.365,0,0.0905,0.259,0,0.252,0.544,86.003,180522,4
28,Nights Like This (feat. Ty Dolla $ign),Kehlani,19202,https://open.spotify.com/track/6ZRuF2n1CQxyxxAAWsKJOy,2019,2,27,nz,0.61,0.725,8,-5.131,1,0.15,0.367,0,0.154,0.291,146.163,201788,4
29,SICKO MODE,Travis Scott,19193,https://open.spotify.com/track/2xLMifQCjDGFmkHkpNLD9h,2019,2,27,nz,0.834,0.73,8,-3.714,1,0.222,0.00513,0,0.124,0.446,155.008,312820,4
30,Body (feat. Brando),Loud Luxury,18999,https://open.spotify.com/track/7K7MUBCnzgBAvMVW2RTWNs,2019,2,27,nz,0.752,0.764,1,-4.399,1,0.038,0.0476,9.44e-05,0.0543,0.582,121.958,163216,4
31,Vibes,Six60,18611,https://open.spotify.com/track/5EKITWJXROxWdc0bcRrMLy,2019,2,27,nz,0.823,0.44,5,-8.465,0,0.0346,0.0375,1.84e-05,0.0945,0.692,102.997,211959,4
32,when the party's over,Billie Eilish,17735,https://open.spotify.com/track/14JzyD6FlBD5z0wV5P07YI,2019,2,27,nz,0.498,0.104,1,-14.08,0,0.0621,0.979,7.86e-05,0.0895,0.205,124.001,199931,3
33,Robbery,Juice WRLD,17160,https://open.spotify.com/track/44ShclXTOOnYtt5CnCDeGV,2019,2,27,nz,0.708,0.691,2,-5.179,1,0.0442,0.342,0,0.222,0.535,79.99,240527,4
34,Love Someone,Lukas Graham,17118,https://open.spotify.com/track/3id2EVGKc3eFAMn9nFnB0r,2019,2,27,nz,0.538,0.409,9,-6.581,0,0.0505,0.172,0,0.11,0.265,171.838,205440,4
35,Bad Liar,Imagine Dragons,17006,https://open.spotify.com/track/2RSHsoi04658QL5xgQVov3,2019,2,27,nz,0.383,0.637,3,-6.993,1,0.0703,0.0722,0,0.368,0.0827,177.913,260773,4
36,Youngblood,5 Seconds of Summer,16355,https://open.spotify.com/track/2iUXsYOEPhVqEBwsqP70rE,2019,2,27,nz,0.596,0.854,7,-5.114,0,0.463,0.0169,0,0.124,0.152,120.274,203418,4
37,Be Alright,Dean Lewis,16182,https://open.spotify.com/track/3EPXxR3ImUwfayaurPi3cm,2019,2,27,nz,0.553,0.586,11,-6.319,1,0.0362,0.697,0,0.0813,0.443,126.684,196373,4
