Position,Track Name,Artist,Streams,URL,Year,Month,Day,Region,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
31,Kiss and Make Up,Dua Lipa,39859,https://open.spotify.com/track/13hvHEstJ4sNbzdroPrPI3,2019,1,18,tr,0.675,0.729,8,-4.383,1,0.146,0.0557,0,0.189,0.63,99.986,190560,4
32,Neyim Var Ki (feat. Sagopa K),Ceza,38124,https://open.spotify.com/track/09XOVDSIbBxBf6Kr1vGnHf,2019,1,18,tr,0.904,0.462,2,-12.017,1,0.295,0.138,0,0.139,0.692,90.022,206693,4
33,Bu Gece,Ceg,37990,https://open.spotify.com/track/2DTLzghmLMDNvTYe67ffuD,2019,1,18,tr,0.762,0.442,2,-6.188,1,0.355,0.623,0,0.105,0.538,139.816,281571,4
34,Say My Name,David Guetta,37112,https://open.spotify.com/track/0YammaEkYSeo9vQYZ1OwS6,2019,1,18,tr,0.703,0.66,10,-5.119,0,0.123,0.137,0,0.192,0.79,95.031,198947,4
35,In My Mind,Dynoro,36870,https://open.spotify.com/track/0E9ZjEAyAwOXZ7wJC0PD33,2019,1,18,tr,0.694,0.77,6,-5.335,1,0.149,0.176,1.1e-05,0.118,0.163,125.905,184560,4
36,Sürgün Aşkımız,Emrah Karaduman,36808,https://open.spotify.com/track/1vBQ0dGjpnpOIF7iNbwuyX,2019,1,18,tr,0.745,0.677,11,-5.179,0,0.045,0.00214,0,0.0931,0.487,107.961,219965,4
37,Tamam Tamam,Summer Cem,36358,https://open.spotify.com/track/2eRq2jwsZtb0uGH4qUsvT1,2019,1,18,tr,0.886,0.642,6,-7.141,1,0.0995,0.141,0.00427,0.129,0.581,100.015,147120,4
38,Beni Sev,Hande Yener,36239,https://open.spotify.com/track/0bE8X3KwUifITMaibVR9eD,2019,1,18,tr,0.585,0.766,2,-4.75,0,0.0329,0.00678,1.36e-05,0.422,0.363,110.006,259093,4
39,Bir Derdim Var,mor ve ötesi,36091,https://open.spotify.com/track/5oecOcmSEHs7MZiB0NPbFu,2019,1,18,tr,0.586,0.89,11,-1.988,0,0.0369,0.012,0.00508,0.114,0.426,119.062,204320,4
40,Without Me,Halsey,35628,https://open.spotify.com/track/5p7ujcrUXASCNwRaWNHR1C,2019,1,18,tr,0.752,0.488,6,-7.05,1,0.0705,0.297,9.11e-06,0.0936,0.533,136.041,201661,4
41,Sıfır Sıkıntı,Istanbul Trip,34836,https://open.spotify.com/track/2gCZGzOm3XP7WlQH0IzmYX,2019,1,18,tr,0.858,0.666,6,-7.312,1,0.255,0.0578,0,0.0679,0.457,136.954,374982,4
42,Sükut-u Hayal,Oğuzhan Koç,34406,https://open.spotify.com/track/4Y3ds5cgHH57bS9MPj5Ykv,2019,1,18,tr,0.622,0.76,11,-7.062,0,0.0478,0.163,0,0.0996,0.764,127.771,260589,4
43,Ne Farkeder,Yüzyüzeyken Konuşuruz,34240,https://open.spotify.com/track/23KSyhPMqyUVrrLo300YiW,2019,1,18,tr,0.567,0.626,7,-9.059,0,0.0519,0.219,0.966,0.108,0.625,90.027,192542,4
44,Dinle Beni Bi',Yüzyüzeyken Konuşuruz,34000,https://open.spotify.com/track/11PO9iu6PtpgL1JK4QNUEJ,2019,1,18,tr,0.557,0.683,9,-9.298,0,0.0471,0.562,0.897,0.107,0.543,91.965,144907,4
45,A Canım,Mabel Matiz,33168,https://open.spotify.com/track/6GxaMyQYnqqASQKNYY4Tub,2019,1,18,tr,0.582,0.833,0,-6.172,0,0.0492,0.0373,0,0.93,0.556,111.974,263799,4
46,lovely,Billie Eilish,32079,https://open.spotify.com/track/1NJcg626wLln4pGHpiV7mf,2019,1,18,tr,0.351,0.296,4,-10.109,0,0.0333,0.934,0,0.095,0.12,115.284,200186,4
47,Kibir,Contra,31818,https://open.spotify.com/track/1y2mzrtAcHvmPJlNZUQ78e,2019,1,18,tr,0.843,0.796,8,-6.327,0,0.104,0.485,0,0.0633,0.663,129.922,153701,4
48,Thunderclouds,Sia,31657,https://open.spotify.com/track/2c7GlMNmF7pbohjykutmLP,2019,1,18,tr,0.691,0.716,7,-5.985,1,0.0351,0.0085,9.06e-06,0.263,0.507,112.035,187027,4
49,Salla,Aynur Aydın,31249,https://open.spotify.com/track/529wAW5scRR1yMBD3nGnqF,2019,1,18,tr,0.673,0.855,6,-6.786,0,0.0477,0.114,0,0.283,0.383,94.969,209962,4
50,Işıklar,Allame,30702,https://open.spotify.com/track/6iJBlxYDvqPmDyxWjuvP3M,2019,1,18,tr,0.726,0.906,6,-4.236,1,0.0767,0.672,0,0.337,0.573,132.067,265455,4
51,Bazen (feat. Emel),Ezhel,30666,https://open.spotify.com/track/6qkXhA5mVvG1DLyliRS1Yf,2019,1,18,tr,0.696,0.6,6,-6.287,0,0.207,0.301,2.94e-06,0.0851,0.962,80.019,231008,4
52,Uyan,Velet,30436,https://open.spotify.com/track/5jpgdY7oK3z09QCLZwPM3o,2019,1,18,tr,0.479,0.798,8,-5.129,1,0.0801,0.0267,2.88e-06,0.0944,0.402,140.073,226286,4
53,Sarmaşık,Mabel Matiz,30383,https://open.spotify.com/track/4AwMlBuqRr4wF1l4UqyJkg,2019,1,18,tr,0.378,0.734,10,-6.573,0,0.129,0.0605,4.97e-05,0.161,0.491,180.207,278327,4
54,Şehrimin Tadı,Ezhel,30302,https://open.spotify.com/track/5JaXKUIcNxwSuUyD4CsphL,2019,1,18,tr,0.847,0.636,10,-8.687,0,0.523,0.663,0.00015,0.322,0.302,125.055,253450,4
55,Aşk Bitsin,Buray,30034,https://open.spotify.com/track/7KwJ77WnVmphcdSDtIHe47,2019,1,18,tr,0.581,0.634,2,-6.671,0,0.0704,0.42,0,0.114,0.449,80.946,226276,4
56,Suspus,Ceza,29645,https://open.spotify.com/track/1JvUmKSl9Mg6mQnmbjLYyz,2019,1,18,tr,0.824,0.708,1,-5.836,0,0.201,0.00858,0,0.15,0.522,157.967,248786,4
57,Yaramızda Kalsın,Onur Can Özcan,29240,https://open.spotify.com/track/0OTmkHR256dTdFVI7KWoPm,2019,1,18,tr,0.58,0.125,11,-16.729,0,0.0482,0.794,0,0.171,0.403,77.759,211500,4
